Species,Split,Positive,Negative,Total
Rattus_norvegicus,Train,8249,8240,16489
Rattus_norvegicus,Validation,1010,1051,2061
Rattus_norvegicus,Test,1047,1015,2062
Schistosoma_japonicum,Train,1535,1538,3073
Schistosoma_japonicum,Validation,195,189,384
Schistosoma_japonicum,Test,191,194,385
Saccharomyces_cerevisiae,Train,9744,9758,19502
Saccharomyces_cerevisiae,Validation,1202,1235,2437
Saccharomyces_cerevisiae,Test,1243,1196,2439
Mus_musculus,Train,7861,7878,15739
Mus_musculus,Validation,975,992,1967
Mus_musculus,Test,1001,967,1968
Escherichia_coli,Train,6931,6958,13889
Escherichia_coli,Validation,874,862,1736
Escherichia_coli,Test,876,861,1737
Bacillus_velezensis,Train,2312,2336,4648
Bacillus_velezensis,Validation,289,292,581
Bacillus_velezensis,Test,304,277,581
Plasmodium_falciparum,Train,2432,2464,4896
Plasmodium_falciparum,Validation,307,305,612
Plasmodium_falciparum,Test,321,291,612
Oryza_sativa,Train,344,356,700
Oryza_sativa,Validation,46,41,87
Oryza_sativa,Test,48,41,89
Arabidopsis_thaliana,Train,238,248,486
Arabidopsis_thaliana,Validation,24,36,60
Arabidopsis_thaliana,Test,42,20,62
